Id,Target
v_06xnbcrtte_0000,1 12.26 490.045 24.42 31.89 359.2;1 637.965 488.115 86.83 30.35 359.7;1 781.415 542.41 76.61 31 1.22;1 901.625 465.52 31.01 82.38 38.26;1 956.215 363.62 28.67 67.72 4.52;1 968.275 217.58 30.35 81.6 2.22;1 980.87 34.49 30.7 68.98 6.7;1 1015.48 196.685 31.36 86.51 0;1 1041.645 552.725 31.13 80.25 359;1 1057.795 1033.945 33.07 77.67 28.72;1 1144.97 534.295 81.46 33.31 356.6;1 1225.54 479.06 83.2 30.6 358.2;7 637.79 564.01 91.34 36.38 358.7
v_08j4szqboz_0000,1 637.775 1061.5 73.63 36.42 5;1 909.035 886.425 35.85 86.45 0;1 909.535 1000 32.91 81.16 0;1 953.52 987.325 30.38 82.41 0;1 964.215 873.235 33.57 75.39 0
v_09gpsv2mc8_0000,1 22.75 472.45 45.5 35.3 0;1 26.755 366.835 53.49 28.65 0;1 11.86 305.86 23.08 32.8 0;1 60.27 999.21 74.5 32.18 0;1 167.14 210.745 74.8 34.97 357.4;1 185.845 461.42 63.81 28.1 0;1 342.01 467.69 77.76 30 0;1 347.02 370.67 76.74 31.36 0;1 517.14 409.18 92.74 36.3 0;1 527.915 464.61 81.33 31.6 0;1 740.42 1035.475 79.94 27.11 22.25;1 762.61 464.67 82.28 31.9 8.9333;1 829.28 253.95 73.3 30.3 0;1 836.96 1046.13 67.84 29.8 88.3;1 850.89 366.46 79.08 32 0;1 852.83 783.21 76.5 28.9 86.8;1 955.79 295.17 97.42 36.82 0;1 924.6 1014.69 30.4 76.6 0;1 924.07 921.99 28.7 73.3 0;1 967.255 863.145 31.07 70.19 0;1 1028.49 201.305 97.78 34.79 0;1 1073.22 245.53 79.2 31.6 356;1 1108.985 363.365 84.63 34.59 0;1 1164.45 413.13 97.48 30.9 0;1 1216.01 284.5 73.88 28.92 0;1 1352.86 406.36 74.1 30 0;1 1392.06 197.74 77.6 29 359.2;1 1399.73 291.38 74.2 31 0;1 1530.68 242.335 89.48 32.63 0;1 1565.49 448.055 84.9 30.47 0.9;1 1863.965 395.15 82.19 31.5 0;2 566.24 199.76 103.84 31.4 359.8;2 1667.095 392.745 103.93 31.71 4.3;7 94.215 416.7 188.37 49.2 0;7 399.845 250.635 171.15 48.57 0;7 801.4 413.09 115.34 32.8 0;9 217.62 376.4 32.56 10.7 0;9 350.99 196.26 38.5 11.5 357.1;9 667.96 466.98 39.6 12.7 0;9 844.29 578.94 40 8.2 68.6
v_0cet0jvgh0_0000,1 53.045 562.465 87.79 30.55 2.7;1 249.07 564.03 28.66 78.66 92.5;1 558.575 517.155 35.61 88.63 89.4;1 754.47 517.95 38.2 86 87.5571;1 775.68 571.83 29.7 86.74 74.1714;1 897.74 562.575 71.92 28.65 354.5;1 952.125 1028.8 32.41 79.24 5.3;1 972.545 107.12 31.29 83.62 0;1 1219.835 545.315 83.87 34.41 0
v_0csnwwbxbf_0000,1 327.515 519.505 98.57 37.35 2.2;1 555.215 491.07 101.41 41.06 0;1 926.44 494.38 40.56 90.96 0;1 925.54 248.1 35.3 89.22 359;1 927.95 716.13 37.1 90.06 0;1 969.71 40.03 77.34 37 272.73;1 987.15 669.545 36.46 93.09 0;1 996.665 916.93 38.15 95.32 0;1 1039.98 542.955 39.4 91.47 34.23;1 1143.81 540.105 89.2 35.39 359.7;1 1237.29 492.135 84.64 37.65 2;1 1261.345 563.38 87.81 37.8 0.9;1 1357.405 498.575 91.07 38.09 357.9;1 1365.535 447.22 95.15 41.46 358.1;1 1370.665 545.915 40.25 87.67 90.9;1 1460.72 495.32 91.68 38.98 358.5;1 1566.34 486.985 103.8 42.33 359.8;1 1623.925 531.06 89.95 37.18 356.3;1 1725.955 491.8 90.19 40 0;1 1832.555 490.63 94.45 37.2 359.5;1 1855.205 560.66 39.07 96.1 86.9;4 927.72 959.93 41.1 119 0;4 1503.045 545.22 97.95 36.12 359;7 731.73 492.865 108.96 38.89 0;9 964.38 736.085 14.5 47.59 359.3
v_0cx8pn55k6_0000,1 561.535 577.96 80.95 31.4 358.2875;1 554.985 516.17 35.61 88.62 89.4;1 955.61 545.22 32.64 79.54 0;1 955.53 404.515 31.7 85.33 0;1 961.98 213.51 29.4 83.56 0;1 971.89 24.4 31.4 48.8 0;1 1008.58 228.465 31.6 83.15 0;1 1014.06 429.84 29 73.1 357.64;1 1169.785 508.92 86.51 31.2 1.5;1 1364.05 522.07 91.64 34.02 0;9 1790.89 529.01 42.98 14.12 0
v_0gazlo3h1g_0000,1 233.445 490.27 91.73 35.16 0;1 374.865 493.25 94.45 39.56 0;1 394.45 548.45 91.96 36.6 0;1 492.275 485.43 98.81 37.76 359.7;1 517.34 544.035 85.1 34.37 0;1 611.14 484.035 94.94 38.03 0;1 609.99 539.74 88.6 36.82 359.6;1 714.725 541.78 107.71 37.48 359.3;1 723.2 487.775 83.42 39.41 0;1 829.22 470.49 87.62 35.58 347.0333;1 855.17 551.09 92.34 39.38 0;1 917.16 18.055 40.66 36.11 0;1 919.39 227.895 37.72 87.25 0;1 921.32 447.42 35.98 90 0;1 927.81 909.57 36.42 91.08 0;1 934.86 659.695 38.08 87.85 0;1 972.715 145.73 37.15 89.08 0;1 984.515 822.685 39.03 100.43 0;1 992.1 969.115 36.66 93.57 0;1 1034.295 589.77 37.97 91.3 28.72;1 1369.685 494.89 86.93 38.06 358.8;1 1488.1 486.645 42.36 91.15 86.9;1 1616.68 487.36 36.56 93.4 89.1;1 1741.395 478.475 96.79 39.93 359.8;1 1887.93 486.04 44.44 87.74 88.7;4 234.67 548.5 143.04 41.46 0.6;9 264.3 517.81 44.28 11.06 0
v_0getcmo42g_0000,1 1408.66 479.01 98.9 35.12 0;1 1720.04 433.29 87.36 40.74 0.7;9 1721.53 495.88 47.48 20.32 0
v_0gq5nphux2_0000,1 1128.37 500.745 91.88 37.87 359
v_0jyl3xgw4x_0000,1 553.37 514.295 35.6 88.63 89.4;1 823.64 570.055 83.7 30.31 358.9;1 957.59 202.285 31.7 87.99 0;1 963.51 315.455 32.64 84.51 0;1 999.77 1008.34 93.96 35.16 269.5;1 969.38 37.865 29.4 73.13 0;1 1008.54 79 29 74.44 3.6;1 1155.745 564.38 84.03 31.4 353.4;1 1170.13 507.855 86.52 31.19 1.5;1 1734.76 524.715 97.6 34.01 0
v_0lkfo9oisd_0000,1 496.55 475.36 102.1 36.1 0;1 589.4 525.23 97.08 37.4 358.9;1 833.85 512.83 94.5 36.82 0;1 1188.37 526.96 92.78 35.94 0;1 1627.385 577.73 34.69 89.7 89.3;1 1717.74 495.205 100.12 35.81 0
v_0ln3dvoqc6_0000,1 68.26 538.155 91.64 36.41 0;1 114.65 491 89.98 39.34 0;1 504.75 542.29 37.68 88.86 88;1 943.465 1007.695 82.23 34.97 269.2;1 945.81 704.525 86.04 36.09 292.3525;1 941.86 898.52 33.98 89.66 0;1 991.305 948.965 86.43 38.91 270.4;1 999.23 725.12 89.76 39.28 275;1 990.05 843.975 34.22 87.51 0;1 1236.66 511.805 89.54 36.21 0;1 1360.145 506.105 90.71 34.97 0;1 1495.165 516.48 89.27 37.76 0;1 1721.215 567.14 98.15 37.56 355;1 1817.24 518.75 95.26 38.34 0;7 988.665 574.535 42.17 103.15 355.3
v_0m47p9qc2e_0000,1 812.6 495.985 96.24 38.79 0;1 839.35 551.4 98.5 36.5 1.6;1 910.65 791.125 37.62 93.43 0;1 917.65 350.745 34.2 94.17 0;1 933.93 558.68 33.5 90.7 0;1 975.26 435.48 33.1 89.28 0;1 976.77 752.795 35.4 89.37 0;1 982.015 920.29 37.99 103.5 0;1 1232.11 491.08 98.88 38 1.2;1 1390.41 552.465 102 39.07 3.6;1 1522.48 549.87 94.2 38.1 0;1 1551.425 507.105 93.21 37.35 358.2;1 1639.74 553.58 105.08 39.3 0;1 1655.1 503.9 89.04 36.18 0;1 1761 554.35 101.9 37.74 0.1;1 1799.92 498.195 101.1 36.25 359.1;1 1867.43 564.135 96.3 32.63 0;1 1895.525 493.475 48.95 36.25 0
v_0mp55gehz5_0000,1 31.205 295.375 62.41 36.13 0;1 27.78 385.555 55.56 36.49 0;1 36.045 478.305 72.09 37.35 0;1 59.5 434.535 87.9 33.03 0;1 210.21 385.93 80.5 30.1 0;1 226.27 433.28 85.4 32.3 0;1 272.155 1028.335 79.13 35.33 0;1 285.15 486.92 84.1 31.6 0;1 370.5 440.615 86.7 36.29 0;1 509.15 433.495 84.58 34.27 0;1 519.325 483.57 82.31 32.98 0;1 540.78 225.875 81.96 36.65 359.6;1 659.785 450.525 80.81 33.91 2.1;1 735.395 501.205 88.73 33.03 7.45;1 827.29 928.485 79.76 34.05 91.3;1 890.16 392.425 77.6 32.05 0.3;1 908.795 893.32 35.85 86.44 2.6564;1 908.135 1008.57 32.91 81.16 0;1 1023.765 428.795 81.29 34.81 356.9;1 1200.97 447.105 97.74 37.79 0;1 1351.105 395.94 77.57 34.94 0;1 1562.655 418.15 78.73 33.78 2;2 115.18 228.85 99.3 40.84 359.3;4 423.945 388.465 96.11 37.31 0;4 743.555 317.07 85.19 37.42 0;5 1310.555 270.195 175.69 56.63 358.9;7 598.78 266.555 98.92 47.63 0;7 838.26 578.43 89.42 34.98 62.45;9 165.435 490.43 39.01 13.16 0;9 616.735 487.545 36.39 11.75 359.7;9 1319.67 488.915 35.34 10.51 1
v_0mpdxs98r6_0000,1 640.695 530.45 41.11 89.04 269.6;1 825.955 517.32 92.31 37.64 359.9;1 1304.78 505.525 96.96 42.49 0;1 1634.445 539.745 91.19 41.05 1
v_0ofnytwerz_0000,1 99.05 491.27 89.98 39.34 0;1 707.745 542.4 83.89 35.36 357.08;1 943.205 825.345 86.05 36.09 270.8;1 938.55 408.61 37.3 88.68 0;1 943.575 212.36 41.71 101.7 4.5;1 947.48 1064.17 33.98 31.66 0;1 994.495 1002.61 86.43 38.9 270.4;1 1001.99 747.15 89.76 39.28 275;1 991.715 70.46 35.37 84.5 0;1 994.33 859.27 34.22 87.5 0;1 999.59 352.705 37.7 88.55 0;1 1068.095 576.965 87.13 35.35 336.72;1 1362.245 546.365 90.37 37.99 354.44;1 1397.715 493.71 88.77 34.76 0;1 1583.65 509.95 98 35.24 0;1 1742.91 561.79 98.14 37.56 2.22;7 998.07 615.235 42.18 103.15 355.3;9 362.86 558 13.06 39.9 88.06;9 899.805 308.46 13.89 39.38 0
v_0olp6u47df_0000,1 761.62 508.905 38.58 94.29 269.46;7 995.04 630.545 40.78 106.29 342.81
v_0psfafjt98_0000,1 1405.46 541.985 107.74 48.61 0
v_0qfyp2nwh7_0000,1 150.61 511.6 84.54 35.5 0;1 1560.77 532.18 90.6 38.2 0;9 323.095 548.79 56.49 17.9 0
v_0r0ibswn18_0000,1 156.93 529.49 106.04 46.04 0
v_0s8cb4es83_0000,1 9.76 240.515 19.52 10.91 268.2;1 29.5 418.1 58.6 34.8 0;1 180.235 425.67 83.99 29.8 0;1 185.14 474.33 70.28 29.2 0;1 301.71 427.06 75.9 29.24 0;1 317.91 369.56 78.6 33.8 0;1 338.1 469.65 79.78 31.58 0;1 347.35 108.58 29.9 82.36 268.4;1 413.22 416.13 77.62 28.62 0;1 425.635 374.03 97.15 33.62 0;1 474.28 473.22 86.1 30.9 0;1 505.64 419.84 79.5 30 0;1 557.25 375.43 78.9 31.8 0;1 565.39 1002.42 91.8 34.3 0;1 609.89 423.29 78.8 30.8 0;1 622.66 477.63 71.2 27.5 0;1 695.6 380.34 74.5 29 0;1 965.27 913.33 28.4 75.7 0.4064;1 1017.075 120.4 81.19 33.78 0;1 1015.415 69.535 70.01 32.97 0;1 1042.03 302.39 83.4 32.9 0;1 1210.39 101.02 89.38 35.9 0;1 1207.875 295.105 72.41 27.19 0;1 1238.72 201.47 90.1 32.7 0;1 1312.97 251.97 90.3 35.46 0;1 1363.92 290.77 88.3 33.9 0;1 1378.14 202.56 77.9 32.5 0;1 1423.76 244.38 89.3 29.4 0;1 1487.98 196.3 82 31.6 0;1 1567 289.28 85.1 33.5 0;1 1599.365 197.91 84.73 30.32 0;1 1667.22 240.96 81.2 34.2 0;1 1781.45 194.38 90.3 29.72 0;1 1886.77 191.35 66.44 30.5 0;2 1566.57 239.27 89.5 30.7 0;7 1129.54 249.935 113.3 42.61 0;7 1148.84 194.665 111.02 40.67 0;9 120.29 452.48 37.1 8.6 0;9 403.45 486.68 39.7 6.9 0;9 798.435 434.4 45.57 9.8 358.1571;9 899.68 471.755 39.5 9.01 359.2
v_0sv121zlkj_0000,1 436.73 534.935 32.8 88.05 101.7;1 557.31 496.585 35.6 88.63 89.4;1 765.375 519.335 31.37 82.97 71.4111;1 911.61 453.455 32.9 85.31 35.6667;1 1010.55 992.46 35.9 87.46 0;1 1017.65 86.45 35.8 97.32 0;1 1017.67 329.07 29.9 85.8 0;1 1312.675 537.285 90.55 34.27 356.8;1 1819.55 515.23 93.36 30.2 0;7 960.59 191.965 30.3 107.07 0
v_0swh37qinu_0000,1 24.92 535.03 48.24 34.76 358.9;1 99.89 490.34 89.98 39.34 0;1 114.87 573.235 34.98 88.61 89.4;1 427.015 540.355 33.15 82.15 88.5;1 941.395 27.955 38.83 55.91 0;1 941.91 1064.32 35 31.36 0.2;1 981.62 774.23 76 34.1 270.65;1 975.97 958.85 35.48 78.26 359.3;1 1003.59 613.795 81.9 35.19 308.67;1 983.9 393.77 35.16 85.82 0;1 1339.325 550.945 90.37 37.99 358.2;1 1398.125 500.74 73.31 35.42 0;1 1552.23 514.17 83.56 35.82 0;1 1756.165 577.94 98.15 37.56 0.2;9 914.125 1045.34 12.33 39.38 0
v_0v8irqqbdx_0000,1 918.05 434.37 104.6 32.2 339.7667;1 990.77 821.705 32.9 89.97 0;8 198.925 481.66 66.43 31.5 0;9 756.715 469.54 52.25 17.7 0;9 842.94 475.22 54.5 18.2 0
v_0ycwubdt0t_0000,1 441.095 526.875 115.59 42.05 0;1 1293.12 540.015 111.68 49.93 0
v_0yvee8dwvp_0000,1 254.395 572.48 84.25 34.02 0.1;1 556.065 517.34 35.61 88.62 89.4;1 937.6 429.15 34.94 89.74 17.8333;1 957.06 275.705 30.5 86.61 0;1 958.65 736.155 31.68 77.19 0;1 959.605 150.385 28.65 78.67 2.2;1 984.615 946.47 78.25 30.9 269.8444;1 1059.25 511.345 86.52 31.19 358.6381;1 1295.095 521.29 87.45 35.84 0;1 1394.43 548.62 93.28 33.6 355.7222;1 1528.58 522.92 100.98 30.54 0
v_11tse3ozm8_0000,1 135.815 508.055 87.23 30.97 0;1 229.81 456.53 80.24 32.22 0;1 231.495 138.615 32.93 86.57 268;1 269.775 337.64 31.35 78.4 269.4;1 420.895 513.35 82.83 31.06 0.26;1 470.155 463.405 80.01 30.31 0;1 552.05 410.125 99.3 33.61 0;1 595.85 466.115 82.08 32.45 0;1 616.735 511.25 90.01 31.72 0;1 605.53 290.6 31.28 81.3 270.1;1 708.57 467.325 80.24 34.77 0;1 736.58 414.07 78.56 33.16 0;1 770.855 504.425 71.89 29.37 353.1;1 823.24 314.735 32.74 71.75 288.16;1 1054.04 773.985 71.5 34.31 84.4;1 1220.845 295.325 72.43 33.11 359.2;1 1269.54 342.47 80.1 34.16 0;1 1307.17 297.57 79 31.72 0;1 1406.175 340.515 84.37 32.41 0;1 1414.06 296.565 79.9 32.23 0;1 1510.46 246.475 84.92 34.97 0;1 1489.34 436.125 30.22 77.83 85.2;1 1553.785 293.95 108.77 37.8 0;1 1548.795 340.855 85.99 35.21 359.2;1 1820.17 237.73 103.06 39.02 0;1 1875.875 471.685 33.95 88.15 89.1;4 965.525 440.155 38.89 101.99 344.9;4 1007.915 618.8 31.31 75.04 356.2;5 1361.66 241.525 175.02 54.13 0;9 673.525 437.48 39.27 11.24 4.26;9 783.76 475.89 35.52 14.8 359.3;9 791.81 392.325 44.3 16.05 11.8;9 1217.105 246.695 47.93 19.85 359.6;9 1445.99 318.65 46 16.28 0
v_12togp1s1x_0000,1 14.555 543.305 29.11 26.51 90;1 301.05 550.08 77.48 30.2 2.2;1 539.045 567.65 84.79 31.16 2;1 562.185 495.985 35.61 88.63 89.4;1 716.14 547.07 33.2 85.18 86.65;1 864.15 507.305 30.4 82.03 54.025;1 911.375 1066.955 30.79 26.09 27.4;1 961.77 415.945 30.2 82.29 0;1 966.28 186.165 29.8 74.03 2.7;1 974.81 8.085 32.68 16.11 0;1 1006.055 928.995 33.47 80.05 0;1 1009.88 592.22 31.6 76.66 0;9 1007.44 379.01 13.46 36.72 0
v_13eo01xla7_0000,1 255.81 507.33 92.36 37.04 0;1 349.805 462.05 99.03 41.48 0;1 554.89 451.25 99.82 42.72 0;1 723.805 448.36 94.49 36.22 0;1 891.265 1047.505 37.91 64.99 0;1 906.2 727.01 41.44 99.94 0;1 908.83 881.805 39.16 95.51 0;1 950.44 1048.565 40.3 62.87 0;1 967.1 12.6 41 25.2 0;1 972.05 775.02 39.2 88.1 0;1 984.085 945.42 37.75 92.9 0;1 1072.605 459.355 93.17 40.27 0;1 1769.9 458.78 37.96 86.88 89.5;4 898.595 539.71 39.07 100.9 0
v_13rzcztzn2_0000,1 745.9 513.735 94.6 44.67 0
v_14gzpabiil_0000,1 97.705 482.76 107.23 42.72 0;1 271 491.745 91.66 38.87 0;1 673.075 483.735 94.69 40.33 0;1 782.23 487.805 84.2 40.01 0;1 901.545 590.51 37.07 87.18 0;1 914.32 891.81 38.98 85.5 0;1 931.72 713.235 36.5 87.79 4.79;1 951.445 583.255 38.39 89.31 6.4;1 967.86 832.66 39.08 95.22 1.2;1 1606.635 485.76 92.21 37.2 1;1 1647.455 549.65 35.87 88.22 89.8;1 1713.77 497.265 88.14 37.71 358.8;1 1851.59 485.1 93.64 39.18 358.9
v_16r2k1urc3_0000,1 21.65 492.8 43.3 37.64 0;8 1272.23 454.6 66.8 31.1 0
v_1ax824k2y8_0000,1 1105.55 532.89 90.6 38.2 0;1 1517.205 498.77 95.09 33.9 4.6
v_1bi07v6spb_0000,1 303.03 529.49 106.26 44.22 359.3;1 1273.93 503.495 101.74 40.87 2.1;1 1583.535 533.995 100.33 41.13 356.25
v_1c93se7f7c_0000,1 453.46 491.7 96.1 40.56 0;9 1749.12 589.68 13.8 48.7 89.7
v_1frst4tk1u_0000,1 57.43 516.365 102.48 42.05 0;1 424.655 504.54 106.43 47.3 0;1 1006.045 782.42 42.05 98.54 0
v_1ho22fu1t4_0000,1 224.575 500.345 101.99 39.07 0;1 775.19 481.395 103.16 40.59 0;1 921.61 397.695 110.48 43.91 307.9;1 913.015 1035.1 38.15 89.8 0;1 917.07 881.07 34.94 99.3 0;1 924.275 579.76 40.59 96.9 0;1 973.29 1045.625 34.5 68.75 0;1 1134.29 542.41 94.2 38.1 0;1 1407.595 507.775 93.21 37.35 358.2;1 1607.14 550.1 105.08 39.3 0;1 1653.745 499.84 89.05 36.18 0;1 1761.135 550.48 101.91 37.74 0.1;1 1799.92 494.58 101.1 36.24 359.1;1 1867.15 560.425 96.3 32.63 0;1 1892.055 491.115 55.89 36.25 0;9 1001.27 778.07 11.4 45.6 0
v_1if784vbeo_0000,1 948.045 567.41 38.89 77.6 320.75;1 1318.155 498.375 95.79 39.03 0;1 1613.77 516.735 91.34 34.89 358.3;9 1604.4 557.025 49.38 17.39 351.2
v_1k7v9hjrrc_0000,1 70.545 471.415 92.81 36.39 3.2;1 474.54 549.48 99.22 36.5 359.9;1 804.215 472.775 85.43 36.05 0;1 920.155 462.865 34.83 88.69 44.92;1 962.71 46.8 40.84 93.6 0;1 983.405 299.44 36.93 78.3 6.6;1 997.2 1059.645 35.78 40.71 358.3;1 1050.58 503.615 91.22 35.15 355.7;1 1026.72 21.66 32.5 43.32 0;1 1221.5 508.66 83.8 34.58 0;1 1574.005 511.525 96.71 36.03 0;1 1785.98 508.275 80.38 33.53 0;4 1421.655 501.205 131.11 43.41 0.2;9 215.165 526.24 10.95 39.04 89.4
v_1kkn624m4y_0000,1 409.59 490.435 96.2 42.29 0;1 977.215 224.395 38.25 94.15 0;1 1000.13 668.215 36.62 92.19 16.2429;8 1746.365 455.495 59.45 27.79 0;9 1409.805 479.38 17.03 41.98 87.0857
v_1lcno2kcok_0000,1 12.265 242.445 24.53 17.75 269.1;1 121.38 465.64 76.5 28.9 0;1 218.085 411.56 82.19 31.5 0;1 304.54 467.93 79.1 29.8 0;1 420.89 465.96 84.9 30.46 0;1 490.08 367.085 79.8 28.79 0;1 558.18 466.97 85.6 29.1 0;1 580.23 226.34 28 74.62 272.4889;1 631.36 364.81 77.06 29.7 0;1 684.425 469.805 77.53 30.13 2.8923;1 696.61 412.875 81.8 31.01 0;1 1082.01 297.21 79.1 29.1 0;1 1085.45 197.89 74.1 27.9 0;1 1261.06 63.71 83 35 0;1 1261.92 293.145 84.4 30.43 0;1 1354.26 194.24 82.3 33.2 0;1 1385.55 292.64 85.7 33.52 0;1 1482.42 239.51 84.8 32.8 0;1 1490.82 192.79 79.4 30.6 0;1 1603.77 236.81 83.1 33.8 0;1 1610.62 184.42 74.8 34.98 0;1 1644.66 288.44 85.9 32.8 0;1 1709.135 232.765 80.09 32.53 0;1 1798.365 279.73 97.43 36.82 0;1 1901.78 275.575 36.44 28.93 0;2 388.57 418.64 98.7 30.3 358.5846;2 1001.19 107.36 85.06 26.8 358.3318;2 1211.45 190.775 106.5 40.51 0;2 1538.97 285.825 81.62 32.15 0;2 1831.34 181.35 103.84 31.4 0;7 545.87 413 122.74 43.22 0;7 1164.765 236.635 123.49 35.59 0;7 1320.08 234.56 114.42 33.06 0;7 1447.595 89.945 97.07 35.17 357.4;9 193.61 440.68 35.5 9.2 0;9 761.02 376.3 40.8 11.7 0;9 779.53 448.14 39.1 9.5 3.7923;9 780.9 58.25 31.4 7.5 357;9 898.38 291.875 44.04 12.49 351.4;9 1694.34 182.5 38.5 11.5 349.8
v_1ofto9j5rr_0000,1 416.77 543.3 98.54 45.98 0
v_1ptmk9o2di_0000,1 176.67 530.76 96.68 34.82 2.4;1 939.85 548.37 102.1 36.22 0;1 1008.215 276.705 95.45 36.69 286.8286;1 988.55 1048.8 33.34 62.4 0;1 990.47 810.29 32.4 105.26 5.5;1 1134.22 487.855 94.8 36.57 0;1 1241.75 560.5 88.72 39.8 0;1 1803.095 522.035 98.21 36.25 0;8 360.94 469.56 70.42 28.68 0
v_1q4mazqh90_0000,none
v_1rfeli831e_0000,1 189.72 505.685 27.3 81.75 80.8077;1 234.01 561.275 32.1 78.11 89.8;1 433.07 503.595 80.04 31.11 359.7;1 735.61 519.42 29.7 81.7 80.5733;1 999.82 10.425 32.26 20.75 0;1 1008.185 295.035 30.83 82.29 0.28
v_1ucfougfdq_0000,1 353.46 535.73 122.4 50.32 359.5;1 1566.65 526.775 112.04 49.93 359.2029;9 958.515 680.475 20.31 51.59 340.96
v_1us0n1cwou_0000,1 100.305 503.795 81.61 30.71 0;1 431.89 503.435 69.18 30.95 0;1 474.095 339.535 71.71 32.25 0;1 631.36 256.795 72.38 32.93 0;1 734.245 476.435 82.51 33.59 0;1 763.125 299.115 75.99 34.69 0;1 838.55 812.26 71.88 29.36 161.2;1 1007.96 1026.92 32.08 71.8 0;1 1019.28 933.37 34.18 83.4 0;1 1059.975 912.08 34.95 83.2 0;1 1451.375 282.755 68.33 32.19 0;1 1507.23 244.3 83.86 36.66 0;1 1574.37 347.195 90.5 36.51 0;1 1638.245 290.76 81.23 33.54 0;1 1879.58 417.075 80.84 33.77 0;2 1912.51 282.505 14.98 38.71 0;4 1064.035 1019.92 31.93 75.76 0;7 1218.935 332.73 155.05 50.68 0;9 1911.27 230.25 17.46 18.04 0
v_1utyf6ckw3_0000,1 65.53 252.38 28.46 68.06 268.6;1 438.36 236.28 30.66 71.64 268.0538;1 695.135 119.47 30.63 77.46 292.5862;1 923.76 1057.1 30.5 45.8 0;1 971.26 946.61 27.6 73.82 0;7 727.725 256.8 35.31 131.6 295.6448;7 924.76 853.66 43.6 180.5 0;7 963.39 584.32 34.9 133.4 354.2667;7 1243.04 235.365 123.5 35.59 0
