id,clip_id,split,object_count,available_subset_size,requested_subset_size
v_oiye6mz0h7_0007,v_oiye6mz0h7,train,6,300,1000
v_ombin10joq_0017,v_ombin10joq,train,9,300,1000
v_onwdxdo1bs_0035,v_onwdxdo1bs,train,1,300,1000
v_orw9zvkgmm_0014,v_orw9zvkgmm,train,14,300,1000
v_ovul7e0w8r_0028,v_ovul7e0w8r,train,8,300,1000
v_ow21xl0j8b_0014,v_ow21xl0j8b,val,5,300,1000
v_ox8c8upqpj_0031,v_ox8c8upqpj,train,4,300,1000
v_oxn1ezy3cr_0001,v_oxn1ezy3cr,train,1,300,1000
v_p3goz5vvrj_0008,v_p3goz5vvrj,train,5,300,1000
v_p95655ode0_0008,v_p95655ode0,train,1,300,1000
v_patj5eslks_0029,v_patj5eslks,train,8,300,1000
v_pbu8a4tco7_0001,v_pbu8a4tco7,train,1,300,1000
v_pdb5up0n67_0008,v_pdb5up0n67,train,8,300,1000
v_pxbeekjz1j_0020,v_pxbeekjz1j,train,2,300,1000
v_pybagppb4s_0014,v_pybagppb4s,val,7,300,1000
v_q26jh92rlw_0043,v_q26jh92rlw,train,6,300,1000
v_q2wru9u253_0025,v_q2wru9u253,train,2,300,1000
v_q2xw9bmkzp_0037,v_q2xw9bmkzp,train,8,300,1000
v_q4drgeylry_0007,v_q4drgeylry,train,2,300,1000
v_qh610yk9yf_0048,v_qh610yk9yf,val,4,300,1000
v_qhoua2184j_0013,v_qhoua2184j,train,38,300,1000
v_qnqoa748uc_0026,v_qnqoa748uc,train,14,300,1000
v_qzyxrmn7gg_0034,v_qzyxrmn7gg,train,2,300,1000
v_r0bgvj4nuz_0039,v_r0bgvj4nuz,train,43,300,1000
v_r1nrqpv36y_0004,v_r1nrqpv36y,train,6,300,1000
v_r6tuihtpwu_0024,v_r6tuihtpwu,val,1,300,1000
v_r8j0we04o9_0000,v_r8j0we04o9,train,13,300,1000
v_ra8sg41vpt_0010,v_ra8sg41vpt,train,2,300,1000
v_rbpb03jmmz_0025,v_rbpb03jmmz,train,11,300,1000
v_rdl3k590t8_0004,v_rdl3k590t8,train,26,300,1000
v_rpywb1td9g_0024,v_rpywb1td9g,train,0,300,1000
v_rrpcqktcpy_0037,v_rrpcqktcpy,val,8,300,1000
v_rtb3r0rk90_0022,v_rtb3r0rk90,train,0,300,1000
v_rtswqmqtv8_0035,v_rtswqmqtv8,train,8,300,1000
v_ruccqn4bj4_0021,v_ruccqn4bj4,train,21,300,1000
v_rw91i4tfyy_0001,v_rw91i4tfyy,train,2,300,1000
v_rwkobi1oh0_0004,v_rwkobi1oh0,val,0,300,1000
v_ry7797kbee_0044,v_ry7797kbee,train,0,300,1000
v_s4pu77g6f4_0047,v_s4pu77g6f4,train,19,300,1000
v_s7crh5bdy2_0011,v_s7crh5bdy2,train,1,300,1000
v_s7o4fyc844_0038,v_s7o4fyc844,train,0,300,1000
v_slduobww75_0044,v_slduobww75,train,21,300,1000
v_snkfiomqma_0036,v_snkfiomqma,train,9,300,1000
v_t0rcxiuav0_0037,v_t0rcxiuav0,val,1,300,1000
v_t6e5p362cw_0013,v_t6e5p362cw,train,2,300,1000
v_t8vcih7b0c_0048,v_t8vcih7b0c,train,8,300,1000
v_tbf39o7or8_0029,v_tbf39o7or8,train,9,300,1000
v_tgr757fi0p_0018,v_tgr757fi0p,train,22,300,1000
v_tpa7f4x6rz_0016,v_tpa7f4x6rz,train,6,300,1000
v_tpm3wmkwl7_0022,v_tpm3wmkwl7,train,8,300,1000
v_tuyb2j2uk6_0019,v_tuyb2j2uk6,train,2,300,1000
v_u0dd9s6zum_0026,v_u0dd9s6zum,train,5,300,1000
v_u47h4byhne_0044,v_u47h4byhne,train,7,300,1000
v_u842awhaum_0012,v_u842awhaum,train,20,300,1000
v_u8lyja2jdb_0007,v_u8lyja2jdb,train,4,300,1000
v_uhzhygtzwf_0034,v_uhzhygtzwf,train,19,300,1000
v_uo0x6ym34a_0017,v_uo0x6ym34a,train,23,300,1000
v_utut3z28ew_0047,v_utut3z28ew,train,34,300,1000
v_uvlv5b63tq_0001,v_uvlv5b63tq,train,14,300,1000
v_uwjq66lubl_0002,v_uwjq66lubl,train,28,300,1000
v_uwoyarulwo_0029,v_uwoyarulwo,train,3,300,1000
v_v7fxq3hdpk_0013,v_v7fxq3hdpk,val,2,300,1000
v_vcn6ydcvfw_0014,v_vcn6ydcvfw,train,12,300,1000
v_vcxc1bohus_0035,v_vcxc1bohus,train,1,300,1000
v_vfvr4l26i6_0010,v_vfvr4l26i6,val,2,300,1000
v_vyo0osh1q5_0014,v_vyo0osh1q5,train,9,300,1000
v_vzhmsl0kfn_0046,v_vzhmsl0kfn,train,51,300,1000
v_w1felxwdf3_0045,v_w1felxwdf3,train,5,300,1000
v_w84q90lc0d_0044,v_w84q90lc0d,train,9,300,1000
v_wgwtu9o904_0032,v_wgwtu9o904,train,5,300,1000
v_wj0fmte8s2_0000,v_wj0fmte8s2,val,6,300,1000
v_wj7ufejqry_0030,v_wj7ufejqry,train,5,300,1000
v_ww2zjk1qm0_0006,v_ww2zjk1qm0,val,1,300,1000
v_x0p4fqfqs6_0019,v_x0p4fqfqs6,train,5,300,1000
v_x1s7wkzszm_0010,v_x1s7wkzszm,train,0,300,1000
v_x7vnc140it_0020,v_x7vnc140it,train,28,300,1000
v_x8dsc6pma4_0049,v_x8dsc6pma4,val,3,300,1000
v_x8w1m7zdpk_0036,v_x8w1m7zdpk,train,5,300,1000
v_xdivdk2nee_0014,v_xdivdk2nee,train,16,300,1000
v_xeac18rgky_0029,v_xeac18rgky,train,12,300,1000
v_xeyv9j7rgl_0018,v_xeyv9j7rgl,train,13,300,1000
v_xfuj81j2ca_0001,v_xfuj81j2ca,train,1,300,1000
v_xkra7pkrmn_0035,v_xkra7pkrmn,train,4,300,1000
v_xn5n2k0t7u_0007,v_xn5n2k0t7u,train,5,300,1000
v_xtupvcuike_0000,v_xtupvcuike,train,31,300,1000
v_y0hgp5tlq6_0039,v_y0hgp5tlq6,train,1,300,1000
v_ycol9zsyzz_0026,v_ycol9zsyzz,val,3,300,1000
v_yha9cvj460_0049,v_yha9cvj460,val,13,300,1000
v_ykh3r5cksn_0001,v_ykh3r5cksn,train,0,300,1000
v_ymd32fjhy8_0000,v_ymd32fjhy8,train,43,300,1000
v_ywzpnf3fxa_0047,v_ywzpnf3fxa,train,47,300,1000
v_yzk20gnzmj_0048,v_yzk20gnzmj,train,2,300,1000
v_yzrlq8qm5e_0011,v_yzrlq8qm5e,train,4,300,1000
v_zpnkbf6q4z_0048,v_zpnkbf6q4z,train,12,300,1000
v_zskoepk3hb_0000,v_zskoepk3hb,train,5,300,1000
v_ztz69akqyn_0006,v_ztz69akqyn,val,42,300,1000
v_zvs8l9rjhk_0049,v_zvs8l9rjhk,train,9,300,1000
v_zy9hnd8sgb_0036,v_zy9hnd8sgb,train,7,300,1000
