image_id,clip_id,class_id,class_name,cx,cy,width,height,angle,area_px,area_ratio,out_of_bounds
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,574.44,1006.54,74.5,32.18,0.5571,2397.41,0.0011561583719135802,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,651.855,465.95,77.77,30.0,0.0,2333.1,0.001125144675925926,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,720.92,299.54,74.2,31.0,0.0,2300.2000000000003,0.0011092785493827162,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,833.03,366.99,75.06,28.66,0.0,2151.2196,0.0010374322916666665,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,843.765,663.18,82.29,31.9,97.4,2625.051,0.0012659389467592592,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,852.065,252.385,89.49,32.63,0.0,2920.0587,0.0014082073206018518,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,855.11,462.31,81.34,31.6,0.0,2570.344,0.001239556327160494,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,899.91,186.72,77.6,29.0,11.2,2250.3999999999996,0.0010852623456790121,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,924.6,1013.3,30.4,76.6,0.0,2328.64,0.0011229938271604938,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,924.77,924.13,28.7,73.3,0.0,2103.71,0.0010145206404320987,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,967.395,864.025,31.07,70.19,0.0,2180.8033,0.0010516991222993828,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,1070.235,415.87,92.73,36.3,0.0,3366.0989999999997,0.0016233116319444444,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,1173.7,365.9,76.74,31.36,0.0,2406.5663999999997,0.0011605740740740739,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,1813.04,359.44,78.84,32.0,0.0,2522.88,0.0012166666666666667,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,1895.3,404.57,49.4,30.9,0.0,1526.4599999999998,0.0007361400462962962,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,7,truck,502.235,413.73,378.67,49.2,0.0,18630.564000000002,0.008984646990740742,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,7,truck,1358.11,405.45,115.34,32.8,0.0,3783.1519999999996,0.0018244367283950615,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,9,motorcycle,779.155,437.28,32.55,10.7,15.6125,348.28499999999997,0.0001679615162037037,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,9,motorcycle,836.22,829.53,39.6,12.7,88.1,502.92,0.00024253472222222222,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,9,motorcycle,853.62,1065.055,29.2,8.19,88.7,239.14799999999997,0.0001153298611111111,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,112.02,479.315,108.5,37.35,0.0,4052.4750000000004,0.001954318576388889,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,116.11,386.385,88.9,36.49,0.0,3243.9610000000002,0.0015644102044753087,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,151.33,435.425,87.9,33.03,0.0,2903.3370000000004,0.001400143229166667,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,270.88,234.075,81.96,36.65,359.6,3003.834,0.0014486082175925925,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,305.08,432.32,85.4,32.3,0.0,2758.42,0.0013302565586419753,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,336.48,386.51,80.5,30.1,0.0,2423.05,0.0011685233410493828,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,376.925,487.04,81.39,31.6,0.0,2571.924,0.001240318287037037,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,383.925,1027.36,78.71,35.34,0.17,2781.6114000000002,0.0013414406828703704,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,454.93,440.935,86.7,36.29,0.0,3146.343,0.0015173336226851851,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,583.34,482.13,82.32,32.98,0.0,2714.9135999999994,0.0013092754629629626,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,592.27,434.17,84.58,34.26,0.0,2897.7108,0.0013974299768518517,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,731.315,458.95,79.29,33.92,9.39,2689.5168000000003,0.001297027777777778,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,797.53,518.855,87.9,33.03,21.19,2903.3370000000004,0.001400143229166667,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,824.095,1059.345,41.13,34.05,91.3,1400.4765,0.0006753841145833333,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,909.095,893.03,35.85,86.44,1.7949,3098.8740000000003,0.001494441550925926,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,908.195,1008.265,32.91,81.17,0.0,2671.3046999999997,0.0012882449363425925,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,962.84,1011.11,33.56,76.86,0.0,2579.4216,0.0012439340277777778,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,1026.27,393.365,77.6,32.05,0.3,2487.0799999999995,0.0011994020061728392,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,1182.495,415.08,81.29,34.24,355.1,2783.3696000000004,0.0013422885802469137,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,1343.46,446.805,97.74,37.79,0.0,3693.5946,0.0017812473958333333,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,1566.985,398.335,80.25,34.93,0.0,2803.1325,0.0013518192997685186,0
v_0mp55gehz5_0012,v_0mp55gehz5,1,car,1774.755,427.205,78.73,33.79,0.8,2660.2867,0.0012829314718364197,0
v_0mp55gehz5_0012,v_0mp55gehz5,4,minibus,567.98,315.47,86.02,37.42,0.0,3218.8684,0.0015523092206790124,0
v_0mp55gehz5_0012,v_0mp55gehz5,4,minibus,583.415,388.42,90.97,35.76,0.0,3253.0872,0.0015688113425925926,0
v_0mp55gehz5_0012,v_0mp55gehz5,5,bus,1163.42,269.915,167.52,53.01,359.8,8880.235200000001,0.0042825208333333335,0
v_0mp55gehz5_0012,v_0mp55gehz5,7,truck,431.865,267.195,98.91,47.63,0.0,4711.0833,0.002271934461805556,0
v_0mp55gehz5_0012,v_0mp55gehz5,7,truck,844.455,665.23,87.53,35.9,86.25,3142.3269999999998,0.0015153968942901233,0
v_0mp55gehz5_0012,v_0mp55gehz5,9,motorcycle,256.37,492.485,39.02,13.17,0.0,513.8934,0.0002478266782407408,0
v_0mp55gehz5_0012,v_0mp55gehz5,9,motorcycle,680.605,489.56,36.39,11.76,0.24,427.9464,0.00020637847222222222,0
v_0mp55gehz5_0012,v_0mp55gehz5,9,motorcycle,1532.805,484.15,35.33,10.5,1.0,370.965,0.00017889901620370369,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,99.3,491.0,89.98,39.34,0.0,3539.8132000000005,0.001707085841049383,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,434.51,551.59,89.9,35.36,358.9,3178.864,0.001533016975308642,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,943.145,967.635,86.05,36.09,270.8,3105.5445,0.001497658420138889,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,936.65,557.855,37.3,88.69,0.0,3308.1369999999997,0.0015953592785493825,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,939.785,263.81,37.51,101.7,3.1,3814.767,0.0018396831597222222,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,939.215,45.3,35.01,90.6,0.0,3171.9059999999995,0.0015296614583333332,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,991.555,1070.155,86.43,19.69,270.4,1701.8067000000003,0.000820701533564815,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1002.065,784.28,89.77,39.28,271.8,3526.1656,0.0017005042438271603,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,991.385,201.49,35.37,84.5,0.0,2988.765,0.0014413411458333333,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,993.65,409.865,37.7,88.55,7.28,3338.335,0.0016099223572530864,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,995.865,918.52,34.21,87.5,0.0,2993.375,0.0014435643325617284,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1067.215,577.82,87.13,35.36,335.98,3080.9168,0.001485781635802469,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1301.435,493.2,88.77,34.76,0.0,3085.6451999999995,0.0014880619212962961,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1342.675,547.41,90.37,37.98,358.2,3432.2526,0.0016552144097222222,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1463.225,506.28,92.51,35.24,0.0,3260.0524000000005,0.0015721703317901237,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1759.155,559.63,98.15,37.56,11.22,3686.5140000000006,0.0017778327546296299,0
v_0ofnytwerz_0020,v_0ofnytwerz,1,car,1817.435,512.075,82.57,40.45,0.0,3339.9565,0.001610704330632716,0
v_0ofnytwerz_0020,v_0ofnytwerz,7,truck,998.595,617.67,42.17,103.16,355.3,4350.2572,0.002097924961419753,0
v_0ofnytwerz_0020,v_0ofnytwerz,9,motorcycle,900.005,308.34,13.89,39.38,0.0,546.9882,0.0002637867476851852,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,70.96,416.41,95.8,34.8,0.0,3333.8399999999997,0.0016077546296296296,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,124.84,115.895,29.9,78.71,268.4,2353.4289999999996,0.001134948398919753,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,191.445,425.21,83.99,29.8,0.0,2502.902,0.0012070322145061728,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,223.89,473.23,70.28,29.2,0.0,2052.176,0.0009896682098765432,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,306.965,426.7,75.89,29.24,0.0,2219.0236,0.0010701309799382717,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,321.94,369.51,78.6,33.8,0.0,2656.6799999999994,0.0012811921296296293,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,344.735,469.505,79.79,31.59,0.0,2520.5661,0.00121555078125,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,416.24,415.67,77.62,28.62,0.0,2221.4844000000003,0.0010713177083333334,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,429.755,373.735,97.15,33.63,0.0,3267.1545000000006,0.0015755953414351854,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,497.945,472.035,86.11,30.89,0.0,2659.9379,0.0012827632619598764,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,506.08,420.1,79.5,30.0,0.0,2385.0,0.0011501736111111111,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,567.57,1003.14,91.8,34.3,0.0,3148.74,0.0015184895833333333,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,609.05,423.27,78.8,30.8,0.0,2427.04,0.0011704475308641975,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,620.37,376.46,78.9,31.8,0.0,2509.0200000000004,0.0012099826388888891,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,672.57,478.5,71.2,27.5,0.0,1958.0,0.0009442515432098765,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,808.81,75.65,70.0,32.98,0.0,2308.6,0.001113329475308642,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,824.96,377.43,74.5,29.0,0.0,2160.5,0.0010419077932098766,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,864.58,121.715,81.2,33.79,0.0,2743.748,0.0013231809413580247,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,870.44,303.17,83.4,32.9,0.0,2743.86,0.0013232349537037039,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,966.16,827.4,28.4,75.7,358.8362,2149.88,0.0010367862654320989,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1085.41,102.93,89.38,35.9,0.0,3208.7419999999997,0.0015474257330246911,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1201.1,294.475,72.42,27.19,0.0,1969.0998000000002,0.0009496044560185186,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1227.48,201.47,90.1,32.7,0.0,2946.27,0.0014208478009259259,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1274.95,251.52,90.3,35.46,0.0,3202.038,0.0015441927083333334,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1355.79,290.67,88.3,33.9,0.0,2993.37,0.0014435619212962963,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1376.96,202.02,77.9,32.5,0.0,2531.75,0.00122094425154321,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1422.75,243.92,89.3,29.4,0.0,2625.4199999999996,0.001266116898148148,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1488.35,196.04,82.0,31.6,0.0,2591.2000000000003,0.0012496141975308643,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1567.53,289.0,85.1,33.5,0.0,2850.85,0.001374831211419753,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1596.105,197.735,84.73,30.31,0.0,2568.1663,0.0012385061246141975,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1668.76,240.42,81.2,34.2,0.0,2777.0400000000004,0.0013392361111111114,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1781.45,193.31,90.3,29.72,0.0,2683.716,0.001294230324074074,0
v_0s8cb4es83_0018,v_0s8cb4es83,1,car,1885.425,191.35,69.15,30.5,0.0,2109.0750000000003,0.001017107928240741,0
v_0s8cb4es83_0018,v_0s8cb4es83,2,van,1566.74,238.72,89.5,30.7,0.0,2747.65,0.0013250626929012346,0
v_0s8cb4es83_0018,v_0s8cb4es83,7,truck,1023.04,253.06,113.3,42.62,0.0,4828.846,0.002328725887345679,0
v_0s8cb4es83_0018,v_0s8cb4es83,7,truck,1041.095,198.775,111.01,40.67,0.0,4514.7767,0.0021772649980709878,0
v_0s8cb4es83_0018,v_0s8cb4es83,9,motorcycle,247.12,450.71,37.1,8.6,0.0,319.06,0.00015386766975308643,0
v_0s8cb4es83_0018,v_0s8cb4es83,9,motorcycle,406.74,486.63,39.7,6.9,0.0,273.93,0.00013210358796296296,0
v_0s8cb4es83_0018,v_0s8cb4es83,9,motorcycle,983.175,433.2,45.57,9.8,358.6,446.586,0.00021536747685185187,0
v_0s8cb4es83_0018,v_0s8cb4es83,9,motorcycle,1138.68,466.41,39.5,9.0,359.2,355.5,0.00017144097222222221,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,246.61,491.255,32.8,88.05,104.3,2888.0399999999995,0.0013927662037037036,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,529.33,556.62,31.36,82.98,86.1,2602.2528,0.0012549444444444446,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,556.995,496.99,35.61,88.62,89.4,3155.7582,0.0015218741319444446,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,688.08,537.06,32.9,85.3,78.9,2806.37,0.0013533805941358024,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,968.02,86.86,29.7,83.4,0.0,2476.98,0.00119453125,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,1014.09,571.86,29.9,85.8,0.0,2565.4199999999996,0.0012371817129629627,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,1021.2,231.51,35.8,97.32,0.0,3484.0559999999996,0.001680196759259259,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,1023.71,35.9,31.92,71.8,0.0,2291.856,0.0011052546296296296,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,1141.5,551.855,86.38,34.27,358.16,2960.2426,0.0014275861304012345,0
v_0sv121zlkj_0027,v_0sv121zlkj,1,car,1427.115,510.63,93.35,30.2,0.0,2819.1699999999996,0.001359553433641975,0
v_0sv121zlkj_0027,v_0sv121zlkj,7,truck,952.71,353.185,30.3,107.07,8.3,3244.221,0.0015645355902777778,0
v_13rzcztzn2_0010,v_13rzcztzn2,1,car,607.94,517.68,94.6,44.68,0.0,4226.728,0.0020383526234567903,0
v_1c93se7f7c_0044,v_1c93se7f7c,1,car,32.45,518.735,64.9,35.49,0.0,2303.3010000000004,0.0011107740162037039,0
v_1c93se7f7c_0044,v_1c93se7f7c,1,car,932.01,438.825,96.1,40.57,332.6333,3898.7769999999996,0.0018801972415123454,0
v_1c93se7f7c_0044,v_1c93se7f7c,8,mototaxi,350.19,479.32,68.44,28.66,0.0,1961.4904,0.000945934799382716,0
v_1kkn624m4y_0006,v_1kkn624m4y,1,car,506.83,490.215,96.2,42.29,0.0,4068.2980000000002,0.0019619492669753088,0
v_1kkn624m4y_0006,v_1kkn624m4y,1,car,977.49,151.575,38.26,94.15,0.0,3602.179,0.0017371619405864198,0
v_1kkn624m4y_0006,v_1kkn624m4y,1,car,1008.795,647.015,36.61,92.19,20.2667,3375.0759,0.001627640769675926,0
v_1kkn624m4y_0006,v_1kkn624m4y,8,mototaxi,1866.48,455.68,62.3,27.78,0.0,1730.694,0.0008346325231481481,0
v_1kkn624m4y_0006,v_1kkn624m4y,9,motorcycle,87.79,464.165,62.34,17.49,0.0,1090.3265999999999,0.0005258133680555555,0
v_1kkn624m4y_0006,v_1kkn624m4y,9,motorcycle,1502.635,475.48,13.73,41.98,89.7,576.3854,0.00027796363811728394,0
v_1ofto9j5rr_0021,v_1ofto9j5rr,1,car,141.795,546.32,97.45,45.98,0.0,4480.751,0.002160855999228395,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,142.81,558.905,32.1,78.11,89.8,2507.331,0.001209168113425926,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,186.59,506.485,27.3,81.75,79.1462,2231.775,0.0010762803819444446,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,413.2,502.91,80.04,31.1,359.7,2489.244,0.0012004456018518518,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,682.41,522.4,29.7,81.7,82.76,2426.4900000000002,0.0011701822916666668,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,999.82,28.225,32.26,56.35,0.0,1817.8509999999999,0.0008766642554012345,0
v_1rfeli831e_0008,v_1rfeli831e,1,car,1003.365,340.895,30.83,82.29,2.52,2537.0007,0.0012234764178240742,0
v_1ucfougfdq_0027,v_1ucfougfdq,1,car,36.7,531.91,73.4,50.32,359.5,3693.4880000000003,0.0017811959876543211,0
v_1ucfougfdq_0027,v_1ucfougfdq,1,car,1247.02,526.08,112.04,49.92,359.8,5593.036800000001,0.0026972592592592595,0
v_1ucfougfdq_0027,v_1ucfougfdq,9,motorcycle,699.505,506.125,22.83,51.59,266.95,1177.7997,0.0005679975405092593,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,35.4,474.725,70.8,33.83,0.0,2395.1639999999998,0.0011550752314814813,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,84.22,420.235,83.32,32.69,0.0,2723.7307999999994,0.001313527584876543,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,176.505,338.23,71.71,32.26,0.0,2313.3646,0.0011156272183641975,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,286.13,505.935,81.6,30.71,0.0,2505.9359999999997,0.0012084953703703702,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,326.795,259.115,72.39,32.93,0.0,2383.8027,0.0011495962094907409,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,577.615,299.145,75.99,34.69,0.0,2636.0930999999996,0.0012712640335648146,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,597.95,503.165,69.18,30.95,0.0,2141.121,0.0010325622106481481,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,838.56,812.44,71.88,29.36,161.2,2110.3968,0.0010177453703703705,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,932.36,477.865,80.0,33.59,0.0,2687.2000000000003,0.0012959104938271605,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1008.07,1027.21,32.08,71.8,0.0,2303.3439999999996,0.0011107947530864196,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1019.28,933.595,34.18,83.39,0.0,2850.2702,0.0013745516010802469,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1060.055,911.59,34.95,83.2,0.0,2907.84,0.0014023148148148148,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1195.15,248.56,83.86,36.66,0.0,3074.3075999999996,0.0014825943287037036,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1206.785,283.735,68.33,32.19,0.0,2199.5427,0.001060736255787037,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1345.18,346.315,90.5,36.51,0.0,3304.1549999999997,0.001593438946759259,0
v_1us0n1cwou_0010,v_1us0n1cwou,1,car,1422.745,290.745,81.23,33.55,0.0,2725.2664999999997,0.001314268180941358,0
v_1us0n1cwou_0010,v_1us0n1cwou,2,van,1741.425,284.625,98.69,38.71,0.0,3820.2899,0.00184234659529321,0
v_1us0n1cwou_0010,v_1us0n1cwou,4,minibus,1064.085,1020.19,31.93,75.76,0.0,2419.0168000000003,0.0011665783179012348,0
v_1us0n1cwou_0010,v_1us0n1cwou,7,truck,1007.06,333.06,151.12,50.68,0.0,7658.7616,0.0036934614197530863,0
v_1us0n1cwou_0010,v_1us0n1cwou,9,motorcycle,1757.475,230.125,38.91,18.03,0.0,701.5473,0.0003383233506944444,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,377.53,512.3,96.2,36.08,0.0,3470.8959999999997,0.0016738503086419752,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,496.53,453.085,103.1,40.13,0.0,4137.403,0.001995275366512346,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,625.58,518.38,99.54,38.98,0.0,3880.0692,0.0018711753472222222,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,656.055,465.4,99.63,37.54,0.0,3740.1101999999996,0.0018036796874999997,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,784.455,466.505,93.65,40.13,0.0,3758.1745000000005,0.0018123912519290126,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,905.23,599.08,38.22,90.44,0.0,3456.6168,0.0016669641203703703,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,904.94,775.32,37.2,81.7,0.0,3039.2400000000002,0.0014656828703703704,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,905.775,456.44,37.13,87.78,0.0,3259.2714,0.0015717936921296296,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,908.445,1011.16,41.09,93.4,0.0,3837.8060000000005,0.0018507937885802472,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,966.03,523.95,42.92,88.72,0.0,3807.8624,0.0018363533950617283,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,965.295,773.375,37.99,88.51,0.0,3362.4949,0.0016215735435956792,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,965.8,639.405,38.86,86.21,0.0,3350.1205999999997,0.001615605999228395,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,969.235,978.585,42.31,96.05,0.0,4063.8755,0.0019598165027006173,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,982.955,875.2,40.21,89.1,0.0,3582.711,0.0017277734375,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,1118.755,462.585,92.53,36.79,0.0,3404.1787,0.0016416756847993828,0
v_1v3nchg0m1_0026,v_1v3nchg0m1,1,car,1742.0,467.385,93.84,38.99,0.0,3658.8216,0.0017644780092592595,0
